"hill0","hill1","hill2","Nu","M","Jm","Sm","J","timesteps"
437,39.1428856090583,3.88093297628764,0.584962879680097,0.290520093077794,10000,1000,1000,1000
411,38.8745259324789,3.98809951105912,0.411455850536004,0.524838149361312,10000,1000,1000,1000
176,8.45632695049214,2.06695273292491,0.00451766378246248,0.359465037379414,10000,1000,1000,1000
326,21.9744514999961,3.0076816188546,0.274705359712243,0.475169566925615,10000,1000,1000,1000
323,18.192777329771,2.69226834377041,0.41057086000219,0.0888328650500625,10000,1000,1000,1000
135,4.21084059356029,1.54994544192044,0.116118285711855,0.0972863359842449,10000,1000,1000,1000
376,36.2166545612906,3.96992385686051,0.304405709076673,0.570428958395496,10000,1000,1000,1000
259,10.4737628181157,2.12909104844962,0.255760012613609,0.155108103062958,10000,1000,1000,1000
65,2.08342224672334,1.23968888767675,0.0528676240704954,0.0532254197169095,10000,1000,1000,1000
388,28.5564794238997,3.31130213645223,0.560062426468357,0.087369263637811,10000,1000,1000,1000
475,56.7492996550495,4.89859900068579,0.510879866313189,0.552306162659079,10000,1000,1000,1000
307,15.3509203418453,2.49243545838385,0.381584445247427,0.0590051287785172,10000,1000,1000,1000
147,4.91312159484576,1.65056267681652,0.0557362799998373,0.228480869159102,10000,1000,1000,1000
364,33.1900200847649,3.80124072497274,0.310683350265026,0.512943911505863,10000,1000,1000,1000
350,31.2444657327652,3.69986680479508,0.193375231465325,0.599452603887767,10000,1000,1000,1000
304,19.3454456622094,2.85696327659409,0.19678727821447,0.412933752452955,10000,1000,1000,1000
482,51.1053466112936,4.47595516883302,0.578526333393529,0.499675218388438,10000,1000,1000,1000
296,23.3975488389084,3.29296162382527,0.163477302342653,0.525282714469358,10000,1000,1000,1000
86,2.49759382028665,1.30570121377985,0.0374234258662909,0.10614035683684,10000,1000,1000,1000
378,33.4395454826323,3.73028544144209,0.341815326176584,0.460991430049762,10000,1000,1000,1000
169,7.56157725271407,1.96977576072739,0.00669740787707269,0.359317840542644,10000,1000,1000,1000
348,34.2433729006787,3.93750393750404,0.215687529416755,0.575241260882467,10000,1000,1000,1000
320,16.262301259722,2.54044386635237,0.467705153441057,0.0868154078722,10000,1000,1000,1000
458,53.1998675829006,4.75027789125662,0.491950718918815,0.457409363240004,10000,1000,1000,1000
428,40.543523249859,4.02107040894285,0.500263478653505,0.468626922089606,10000,1000,1000,1000
480,53.1610253133262,4.63018696694972,0.553221497219056,0.480763355176896,10000,1000,1000,1000
123,4.00905362207552,1.53452842406999,0.0274351432453841,0.170424286276102,10000,1000,1000,1000
319,25.5486492096377,3.39139399858925,0.229567244835198,0.495072969188914,10000,1000,1000,1000
165,5.44879378998668,1.69846187292787,0.187897071428597,0.0507392906583846,10000,1000,1000,1000
482,58.0173179609333,4.94237194314294,0.521210468094796,0.485968677420169,10000,1000,1000,1000
116,3.69294872550386,1.49355382170552,0.0301174450200051,0.162008979404345,10000,1000,1000,1000
260,12.4230907188436,2.32063789694514,0.185013403650373,0.322986441571265,10000,1000,1000,1000
333,19.4014078914922,2.77332505033591,0.502383937267587,0.00072582601569593,10000,1000,1000,1000
294,13.3156580606417,2.33541184987976,0.38459129165858,0.110431952448562,10000,1000,1000,1000
219,12.6110190965298,2.44372110299796,0.0548765055835247,0.404335603164509,10000,1000,1000,1000
94,2.70928608581464,1.33912191098053,0.06256208200939,0.0626738017424941,10000,1000,1000,1000
249,10.0666039826138,2.1044036751306,0.310808268841356,0.0765172914136201,10000,1000,1000,1000
268,12.6237764214402,2.32084255868253,0.261256118863821,0.193183637363836,10000,1000,1000,1000
131,3.49741594102383,1.44402663940344,0.165854438021779,0.0353156177792698,10000,1000,1000,1000
413,34.7764275415296,3.6753625745181,0.532084975065663,0.395716055296361,10000,1000,1000,1000
312,15.3032983773401,2.47692742107275,0.457357800845057,0.0241935863625258,10000,1000,1000,1000
415,39.0652497039157,3.97279430460221,0.456544793676585,0.423074968764558,10000,1000,1000,1000
156,4.4463652562266,1.56556263189864,0.171880073240027,0.0551375497598201,10000,1000,1000,1000
306,20.1209141815261,2.90601370476066,0.23075440437533,0.454216653155163,10000,1000,1000,1000
413,36.5135771147442,3.80476965924497,0.424069934198633,0.496573261823505,10000,1000,1000,1000
339,26.4828530862767,3.34510811389431,0.302363891713321,0.422705248184502,10000,1000,1000,1000
170,6.98511070465363,1.88480096501809,0.0855694949626923,0.249981628032401,10000,1000,1000,1000
245,19.1855157322684,3.03573054855654,0.069605385325849,0.564223739784211,10000,1000,1000,1000
